id,name,welfare_mean,salary_mean,ft_salary_mean,ft_salary_med,pt_fe_ratio,oa_num,oa_ratio
2739,寒舍,671.00 ,555.00 ,552.00 ,465.00 ,0.46 ,97,0.07 
2748,雲品,692.00 ,578.00 ,546.00 ,479.00 ,0.52 ,24,0.03 
2753,八方雲集,1091.00 ,936.00 ,789.00 ,721.00 ,0.41 ,17,0.01 
2801,彰銀,1705.00 ,1342.00 ,1285.00 ,1194.00 ,0.59 ,1,0.00 
2809,京城銀,1069.00 ,920.00 ,846.00 ,763.00 ,0.54 ,2,0.00 
2812,台中銀,1309.00 ,1131.00 ,1058.00 ,876.00 ,0.38 ,16,0.01 
2816,旺旺保,1152.00 ,998.00 ,1005.00 ,786.00 ,0.42 ,4,0.01 
2820,華票,2226.00 ,1883.00 ,1581.00 ,1386.00 ,0.13 ,0,0.00 
2832,台產,1042.00 ,911.00 ,960.00 ,728.00 ,0.08 ,4,0.00 
2834,臺企銀,1538.00 ,1245.00 ,1195.00 ,1069.00 ,0.48 ,4,0.00 
2836,高雄銀,1545.00 ,1286.00 ,1185.00 ,1085.00 ,0.51 ,5,0.05 
2838,聯邦銀,1009.00 ,862.00 ,838.00 ,737.00 ,0.54 ,3,0.01 
2845,遠東銀,1467.00 ,1230.00 ,1167.00 ,1037.00 ,0.39 ,1,0.00 
2849,安泰銀,1174.00 ,1022.00 ,939.00 ,803.00 ,0.50 ,16,0.01 
2850,新產,1338.00 ,1227.00 ,1159.00 ,871.00 ,0.17 ,0,0.00 
2851,中再保,2086.00 ,1836.00 ,1631.00 ,1479.00 ,0.45 ,2,0.01 
2852,第一保,1178.00 ,1053.00 ,1040.00 ,786.00 ,0.13 ,2,0.00 
2855,統一證,2433.00 ,2161.00 ,1782.00 ,1163.00 ,0.35 ,0,0.00 
2867,三商壽,1019.00 ,896.00 ,872.00 ,743.00 ,0.48 ,2,0.00 
2880,華南金,1714.00 ,1398.00 ,1332.00 ,1141.00 ,0.52 ,42,0.00 
