id,name,d_seats,id_seats,fe_d_seats,fe_d_ratio,da_rate,dfe_ratio
3712,永崴投控,9.00 ,3.00 ,1.00 ,0.11,0.97,1
3714,富采,9.00 ,5.00 ,0.00 ,0,0.98,1
3715,定穎投控,5.00 ,0.00 ,0.00 ,0,1,1
4104,佳醫,9.00 ,3.00 ,0.00 ,0,0.98,1
4106,雃博,9.00 ,5.00 ,1.00 ,0.11,0.96,1
4108,懷特,12.00 ,3.00 ,2.00 ,0.17,0.92,0.5
4119,旭富,7.00 ,3.00 ,1.00 ,0.14,0.98,1
4133,亞諾法,7.00 ,3.00 ,2.00 ,0.29,0.86,1
4137,麗豐-KY,7.00 ,3.00 ,4.00 ,0.57,0.96,1
4142,國光生,11.00 ,3.00 ,2.00 ,0.18,0.89,0.09
4148,全宇生技-KY,9.00 ,4.00 ,4.00 ,0.44,1,1
4155,訊映,9.00 ,4.00 ,3.00 ,0.33,0.95,1
4164,承業醫,7.00 ,3.00 ,0.00 ,0,0.97,1
4190,佐登-KY,9.00 ,3.00 ,1.00 ,0.11,1,1
4306,炎洲,5.00 ,3.00 ,0.00 ,0,1,0.4
4414,如興,8.00 ,3.00 ,2.00 ,0.25,1,0.88
4426,利勤,7.00 ,3.00 ,0.00 ,0,0.81,0
4438,廣越,7.00 ,3.00 ,0.00 ,0,1,0.14
4439,冠星-KY,7.00 ,3.00 ,0.00 ,0,0.97,1
4440,宜新實業,9.00 ,4.00 ,1.00 ,0.11,1,1
4526,東台,12.00 ,3.00 ,2.00 ,0.17,0.93,1
4532,瑞智,8.00 ,2.00 ,0.00 ,0,0.77,0.88
4536,拓凱,10.00 ,4.00 ,1.00 ,0.1,0.98,1
4540,全球傳動,7.00 ,3.00 ,0.00 ,0,1,1
4545,銘鈺,7.00 ,3.00 ,0.00 ,0,0.97,1
4551,智伸科,8.00 ,3.00 ,1.00 ,0.13,1,1
4552,力達-KY,7.00 ,3.00 ,1.00 ,0.14,0.87,1
4555,氣立,7.00 ,3.00 ,0.00 ,0,1,1
4557,永新-KY,9.00 ,3.00 ,0.00 ,0,1,1
4560,強信-KY,7.00 ,4.00 ,1.00 ,0.14,0.9,1
4562,穎漢,9.00 ,4.00 ,0.00 ,0,1,1
4564,元翎,7.00 ,3.00 ,2.00 ,0.29,0.97,1
4566,時碩工業,7.00 ,4.00 ,2.00 ,0.29,0.98,1
4571,鈞興-KY,7.00 ,3.00 ,0.00 ,0,1,1
4572,駐龍,7.00 ,3.00 ,2.00 ,0.29,1,1
4576,大銀微系統,9.00 ,3.00 ,1.00 ,0.11,0.99,1
