id,name,call_num
2449,京元電子,14
2450,神腦,4
2451,創見,1
2453,凌群,1
2454,聯發科,4
2455,全新,11
2457,飛宏,1
2458,義隆,4
2459,敦吉,1
2460,建通,1
2461,光群雷,1
2462,良得電,1
2464,盟立,1
2465,麗臺,1
2466,冠西電,1
2467,志聖,2
2468,華經,2
2471,資通,2
2472,立隆電,2
2474,可成,74
2476,鉅祥,1
2477,美隆電,1
2478,大毅,1
2480,敦陽科,4
2481,強茂,4
2482,連宇,1
2483,百容,2
2484,希華,1
2485,兆赫,1
2486,一詮,1
2488,漢平,1
2489,瑞軒,1
2491,吉祥全,1
2492,華新科,1
2493,揚博,1
2495,普安,1
2496,卓越,1
2497,怡利電,7
2498,宏達電,6
2501,國建,1
2504,國產,2
2505,國揚,1
2506,太設,1
2509,全坤建,1
2511,太子,2
2514,龍邦,1
2516,新建,1
2520,冠德,2
2524,京城,1
2527,宏璟,1
2528,皇普,1
2530,華建,4
2534,宏盛,1
2535,達欣工,2
2536,宏普,1
2537,聯上發,1
2538,基泰,1
2539,櫻花建,1
2540,愛山林,1
2542,興富發,1
2543,皇昌,1
2545,皇翔,1
2546,根基,2
2547,日勝生,2
2548,華固,2
2597,潤弘,1
2601,益航,1
2603,長榮,2
2605,新興,3
2606,裕民,4
2607,榮運,2
2608,嘉里大榮,2
2609,陽明,4
2610,華航,2
2611,志信,2
2612,中航,4
2613,中櫃,2
2614,東森,1
2615,萬海,5
2616,山隆,1
2617,台航,1
2618,長榮航,2
2630,亞航,1
2633,台灣高鐵,4
2634,漢翔,2
2636,台驊投控,2
2637,慧洋-KY,4
2642,宅配通,2
2645,長榮航太,1
2701,萬企,1
2702,華園,1
2704,國賓,1
2705,六福,2
2706,第一店,1
2707,晶華,2
2712,遠雄來,1
2722,夏都,4
2723,美食-KY,6
2727,王品,3
2731,雄獅,1
2739,寒舍,1
2748,雲品,2
2753,八方雲集,3
2801,彰銀,4
2809,京城銀,4
2812,台中銀,4
2816,旺旺保,1
2820,華票,1
2832,台產,2
2834,臺企銀,4
2836,高雄銀,4
2838,聯邦銀,2
2845,遠東銀,4
2849,安泰銀,2
2850,新產,2
2851,中再保,2
2852,第一保,1
2855,統一證,4
2867,三商壽,2
2880,華南金,2
2881,富邦金,4
2882,國泰金,8
2883,開發金,4
2884,玉山金,8
2885,元大金,4
2886,兆豐金,2
2887,台新金,6
2888,新光金,8
2889,國票金,2
2890,永豐金,8
2891,中信金,4
2892,第一金,4
2897,王道銀行,4
2901,欣欣,1
2903,遠百,1
2904,匯僑,1
2905,三商,1
2906,高林,1
2908,特力,1
2910,統領,1
2911,麗嬰房,1
2912,統一超,4
2913,農林,1
2915,潤泰全,1
2923,鼎固-KY,1
2929,淘帝-KY,1
2939,凱羿-KY,1
2945,三商家購,2
3002,歐格,1
3003,健和興,1
3004,豐達科,1
3005,神基,5
3006,晶豪科,2
3008,大立光,4
3010,華立,5
3011,今皓,1
3013,晟銘電,1
3014,聯陽,2
3015,全漢,2
3016,嘉晶,1
3017,奇鋐,3
3018,隆銘綠能,1
