代號,free_speech,staff_train,occupation_health,consumer_neg,consumer_pos,supplier_esg,risk_management ,nocorrupt
2412,1,1,1,0,0,0,0,0
2413,1,1,1,0,0,0,0,0
2414,1,1,1,0,0,1,0,0
2415,0,1,0,0,0,0,0,0
2417,0,0,0,0,0,0,0,0
2419,1,1,1,0,0,0,0,0
2420,0,1,1,0,0,0,0,0
2421,1,1,1,0,0,1,0,0
2423,0,1,1,0,0,1,0,0
2424,0,1,0,0,0,0,0,0
2425,0,1,1,0,0,0,0,0
2426,1,1,1,0,0,0,1,0
2427,1,1,1,0,0,0,0,0
2428,0,1,1,0,0,1,1,0
2429,1,1,1,0,0,0,0,0
2430,1,1,0,0,0,0,0,0
2431,1,1,1,0,0,0,0,0
2433,1,1,1,0,0,1,0,0
2434,1,1,1,0,0,1,1,0
2436,1,1,1,0,0,0,0,0
2438,0,1,1,0,0,1,0,0
2439,1,1,1,0,0,1,0,0
2440,1,1,1,0,0,0,0,0
2441,1,1,1,0,0,0,0,0
2442,1,1,1,1,0,1,0,0
2443,0,1,0,0,0,0,0,0
2444,0,1,1,0,0,0,0,0
2449,1,1,0,0,0,0,0,0
2450,1,1,0,0,0,0,0,0
2451,1,0,1,0,0,0,0,0
2453,1,1,1,0,0,0,0,0
2454,0,1,0,0,0,0,0,0
2455,1,1,1,1,0,1,0,1
2457,0,1,1,1,0,1,0,0
2458,0,1,1,0,0,1,0,0
2459,0,1,1,0,0,0,0,0
2460,0,1,0,0,0,0,0,0
2461,0,1,1,0,0,0,0,0
2462,1,1,1,0,0,0,0,0
2464,0,1,0,0,0,0,0,0
2465,1,1,1,0,0,1,0,0
2466,0,1,1,0,0,0,0,0
2467,1,1,1,0,0,0,0,0
2471,1,1,0,0,0,0,0,0
2472,1,1,1,0,0,0,0,0
2474,0,1,1,0,0,1,1,0
2476,1,1,1,0,0,0,0,0
2477,1,1,1,0,0,1,0,0
2478,0,1,0,0,0,0,0,0
2480,1,1,1,0,0,0,1,0
2481,1,1,1,0,0,0,0,0
2482,1,1,1,0,0,0,1,0
2483,1,1,1,0,0,0,1,0
2484,0,1,1,0,0,0,0,0
2485,1,1,1,0,0,0,0,0
2486,0,1,0,0,0,0,0,0
2488,0,1,0,0,0,0,0,0
2489,1,1,1,0,0,1,0,0
2491,0,1,1,0,0,1,0,0
2492,0,1,1,0,0,0,0,0
2493,0,1,1,0,0,0,0,0
2495,0,1,0,0,0,0,0,0
2496,0,1,1,1,0,1,0,0
2497,0,1,0,0,0,0,0,0
2498,1,1,0,0,0,0,0,0
2501,1,1,1,0,0,0,0,0
2504,1,1,1,0,0,0,0,0
2505,1,1,1,0,0,0,0,0
2506,1,1,0,0,0,0,0,0
2509,0,0,0,0,0,0,0,0
2511,0,1,0,0,0,0,0,0
2514,1,1,0,0,0,1,0,0
2515,0,1,1,0,0,0,0,0
2516,0,1,0,0,0,0,0,0
2520,1,1,1,0,0,1,0,1
2524,0,1,0,0,0,0,0,0
2527,0,1,1,0,0,0,0,0
2528,1,1,1,1,0,1,0,0
2530,0,1,1,0,0,1,0,1
2534,1,1,1,0,0,0,0,0
2535,1,1,1,0,0,0,0,0
2536,1,1,1,0,0,0,0,0
