代號,free_speech,staff_train,occupation_health,consumer_neg,consumer_pos,supplier_esg,social,risk_management,nocorrupt,conservation
1725,0,1,1,0,0,0,1,1,1,1
1726,0,1,0,0,0,0,0,0,0,0
1727,1,1,0,0,0,0,0,0,0,0
1730,1,1,0,0,0,0,0,0,0,0
1731,1,1,0,0,0,0,0,0,0,0
1732,1,1,0,0,0,0,1,0,0,0
1733,1,1,1,0,0,0,0,0,0,0
1734,1,1,0,0,0,0,0,0,0,0
1735,1,1,0,0,0,0,0,0,0,0
1736,1,1,1,0,0,0,1,0,1,0
1737,0,1,0,0,0,0,1,1,0,1
1752,1,1,0,0,0,0,0,0,0,0
1760,0,1,0,0,0,0,1,0,0,0
1762,0,1,0,0,0,1,0,0,0,0
1773,0,1,0,0,0,0,0,0,0,0
1776,0,1,0,0,0,0,1,0,0,0
1783,1,1,0,0,0,0,1,0,0,0
1786,0,1,0,0,0,0,0,0,0,0
1789,0,1,0,0,0,0,0,0,0,0
1795,0,1,0,0,0,0,0,0,0,0
1802,1,1,0,0,0,1,1,0,0,0
1805,0,1,0,0,0,1,0,0,0,0
1806,1,1,0,0,0,0,1,0,0,0
1808,1,1,0,0,0,0,0,0,0,0
1809,1,1,0,0,0,0,0,0,0,0
1810,0,1,0,0,0,0,1,0,0,0
1817,0,1,1,0,0,0,0,0,0,0
1903,1,1,1,0,0,0,0,0,0,0
1904,0,1,0,0,0,0,0,0,0,0
1905,1,1,1,0,0,0,1,0,0,0
1906,0,1,0,0,0,0,0,0,0,0
1907,0,1,0,0,0,0,0,0,0,0
1909,1,1,1,0,0,0,0,0,1,0
2002,1,1,0,0,0,0,0,0,0,0
2006,1,1,0,0,0,0,0,0,0,0
2007,0,1,0,0,0,0,0,0,0,0
2008,0,1,0,0,0,0,0,0,1,0
2009,1,1,0,0,0,1,0,0,0,0
2010,0,1,1,1,0,1,0,0,1,0
2012,0,1,1,0,0,0,1,0,0,0
2013,1,1,1,1,0,0,0,0,0,0
2014,1,1,1,0,0,0,0,0,0,0
2015,1,1,0,0,0,0,1,0,0,0
2017,1,1,0,0,0,0,0,0,0,0
2020,0,1,0,0,0,0,0,0,0,0
2022,0,1,0,0,0,0,1,0,0,0
2023,0,1,0,0,0,1,0,0,0,0
2024,1,1,0,0,0,1,0,0,0,0
2025,0,1,0,0,0,0,0,0,0,0
2027,0,1,1,0,0,0,0,1,0,0
2028,0,1,0,0,0,0,0,0,0,0
2029,1,1,0,0,0,1,0,0,1,0
2030,0,1,1,0,0,0,0,0,0,0
