id,name,scope1_ton_CO2e,scope1_boundary,scope1_ISO,scope2_ton_CO2e,scope2_boundary,scope2_ISO,scope3_ton_CO2e,scope3_boundary,scope3_ISO,intensity_ton_CO2e,intensity_unit
3257,虹冠電,N/A,N/A,N,356.00 ,110年台電帳單統計,N,N/A,N/A,N,27.61 ,營業額
3266,昇陽,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N/A
3296,勝德,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N/A
3305,昇貿,55.00 ,母公司,N,1144.00 ,母公司,N,N/A,N/A,N,N/A,N/A
3308,聯德,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N/A
3311,閎暉,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N/A
3312,弘憶股,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N/A
3321,同泰,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N/A
3338,泰碩,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N/A
3346,麗清,4.80 ,發電機用柴油+化糞池2021/01~2021/12,N,1147.60 ,台電電力2021/01~2021/12,N,N/A,N/A,N,N/A,N/A
3356,奇偶,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N/A
3376,新日興,551.87 ,僅母公司,ISO 14064,25750.32 ,僅母公司,ISO 14064,5098.22 ,僅母公司,ISO 14064,N/A,N/A
3380,明泰,96.64 ,明泰科技新竹廠,ISO 14064,4327.42 ,明泰科技新竹廠,ISO 14064,633252.51 ,明泰科技新竹廠,ISO 14064,0.00 ,營業額
3406,玉晶光,49.81 ,台中市大雅區科雅東路一號，包括辦公室、作業廠區及依據環保署管制編號要求設定。,N,12160.25 ,台中市大雅區科雅東路一號，包括辦公室、作業廠區及依據環保署管制編號要求設定。,N,N/A,N/A,N,83.25 ,產品
3413,京鼎,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N/A
3416,融程電,41.02 ,僅母公司,N,711.66 ,僅母公司,N,N/A,N/A,N,0.30 ,營業額
3419,譁裕,N/A,N/A,N,888.00 ,僅母公司,N,N/A,N/A,N,N/A,N/A
3432,台端,0.00 ,包含合併財務報表之母子公司,N,N/A,N/A,N,N/A,N/A,N,N/A,N/A
3437,榮創,411.80 ,榮創能源科技股份有限公司,ISO 14064,9253.77 ,榮創能源科技股份有限公司,ISO 14064,N/A,N/A,N,N/A,N/A
3443,創意,101.85 ,本次報告書邊界為創意電子台灣地區，涵蓋新竹總部、新竹分部，未納入海外子公司,ISO 14064,4546.82 ,本次報告書邊界為創意電子台灣地區，涵蓋新竹總部、新竹分部，未納入海外子公司,ISO 14064,3.34 ,本次報告書邊界為創意電子台灣地區，涵蓋新竹總部、新竹分部，未納入海外子公司,ISO 14064,0.31 ,營業額
3450,聯鈞,107.77 ,母公司,N,12358.14 ,母公司,N,N/A,N/A,N,N/A,N/A
3454,晶睿,84.36 ,中和192+168,N,1010.79 ,中和192+168,N,N/A,N/A,N,N/A,N/A
3481,群創,305787.56 ,群創光電(母公司)及子公司：寧波群志光電、寧波群輝光電、佛山群志光電、佛山群輝物流、南京群志光電、上海群志光電、寧波群豐駿電子,ISO 14064,3014686.89 ,群創光電(母公司)及子公司：寧波群志光電、寧波群輝光電、佛山群志光電、佛山群輝物流、南京群志光電、上海群志光電、寧波群豐駿電子,ISO 14064,609013.89 ,群創光電(母公司)及子公司：寧波群志光電、寧波群輝光電、佛山群志光電、佛山群輝物流、南京群志光電、上海群志光電、寧波群豐駿電子,ISO 14064,0.00 ,"1.單位:溫室氣體排放量(噸CO2e)/營業額(元)。2.溫室氣體排放量為2021年度排放量, 營業額為2021年度營業額。"
3494,誠研,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N/A
3501,維熹,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N/A
3504,揚明光,0.52 ,僅母公司,N,14688.75 ,僅母公司,N,N/A,N/A,N,N/A,N/A
3515,華擎,N/A,N/A,N,1074.22 ,僅母公司,N,N/A,N/A,N,0.07 ,每百萬營業額
3518,柏騰,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N/A
3528,安馳,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N/A
3530,晶相光,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N/A
3532,台勝科,6302.93 ,僅母公司,ISO 14064,234876.19 ,僅母公司,ISO 14064,N/A,N/A,N,0.06 ,產品
3533,嘉澤,7712.56 ,本公司於中國大陸廣州、蘇州、中山之子公司,ISO 14064,62018.49 ,本公司於中國大陸廣州、蘇州、中山之子公司,ISO 14064,88317.55 ,本公司於中國大陸廣州、中山之子公司,ISO 14064,N/A,N/A
3535,晶彩科,764.86 ,僅母公司,N,N/A,N/A,N,N/A,N/A,N,0.54 ,以百萬元營業額為單位
3543,州巧,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N/A
3545,敦泰,N/A,N/A,N,883.27 ,台灣新竹總部,N,N/A,N/A,N,2.04 ,員工人數
3550,聯穎,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N/A
3557,嘉威,392.11 ,母公司及大陸子公司,N,36023.30 ,母公司及大陸子公司,N,N/A,N/A,N,0.01 ,營業額
3563,牧德,25.00 ,牧德科技股份有限公司,N,744.00 ,牧德科技股份有限公司,N,N/A,N/A,N,N/A,N/A
3576,聯合再生,317.40 ,母公司(竹科廠、竹南廠及台南廠),N,65229.50 ,母公司(竹科廠、竹南廠及台南廠),N,N/A,N/A,N,5.45 ,百萬營業額
