,腹,industry_id,LEVEL_111,E1,E9,E10,E17,Q4,Q7,Q11,Q15,Q3,Q13,S12,S2,S9,S21,esg_out,Q20,Q18,Q23,Q24,Q27,Q29,Q31,G6,G19,Q34_2,Q43,Q35_2,E_score,S_score,G_score,ESG_score,E1_topic_score,E2_topic_score,E3_topic_score,E4_topic_score,E5_topic_score,S1_topic_score,S2_topic_score,S3_topic_score,S4_topic_score,S5_topic_score,G1_topic_score,G2_topic_score,G3_topic_score,G4_topic_score,ESG_rating,ネ玻(じ),綪ゑ瞯,綪ゑ,ネ玻(じ),market_share,total_market_value
21,1203,1,B+,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,1,1,2.0,0.0,2.0,2.0,2.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,1.0,3.0,3.0,4.0,2.25,2.98,3.0,3.0,4.0,0.0,5.0,4.0,5.0,3.0,5.0,3.0,5.0,0.0,0.0,4.0,B,5488267.0,4.62,綪ゑㄒ禬筁0%~10%,50货~100货,0.006329631596249454,867075266
27,1220,1,B-,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,1,1,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,1.0,0.0,2.0,4.0,1.0,3.0,1.8,3.2,3.5,2.7620000000000005,0.0,0.0,4.0,0.0,5.0,0.0,5.0,5.0,3.0,3.0,5.0,5.0,0.0,4.0,B-,2606215.0,0.0,0%(礚綪),20货~50货,0.0030057540587255086,867075266
37,1737,1,A,1.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,1,1,2.0,0.0,0.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,4.0,1.0,0.0,0.0,1.0,4.0,3.0,2.0,4.4,1.25,2.33,0.0,5.0,0.0,0.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,0.0,0.0,0.0,C,1731172.0,1.13,綪ゑㄒ禬筁0%~10%,10货~20货,0.0019965648518452837,867075266
35,1236,1,B,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1,1,2.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,3.0,2.8,4.4,2.25,3.002,4.0,5.0,0.0,0.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,0.0,0.0,4.0,B,1453573.0,2.14,綪ゑㄒ禬筁0%~10%,10货~20货,0.0016764092541880903,867075266
24,1217,1,B+,1.0,2.0,0.0,2.0,2.0,1.0,2.0,0.0,1,1,1.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,3.4,4.0,3.25,3.496,4.0,4.0,4.0,0.0,5.0,5.0,5.0,4.0,3.0,3.0,5.0,4.0,0.0,4.0,B+,1184229.0,0.0,0%(礚綪),10货~20货,0.001365774167983244,867075266
33,1233,1,B+,1.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,1,1,2.0,0.0,0.0,-2147483648.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.4,3.0,2.25,2.496,0.0,3.0,4.0,0.0,5.0,0.0,5.0,3.0,4.0,3.0,5.0,0.0,0.0,4.0,C,1030545.0,18.26,綪ゑㄒ禬筁10%~20%,10货~20货,0.0011885300393287888,867075266
34,1235,1,C,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,3.0,4.0,1.0,1.0,0.0,2.0,1.0,1.0,3.0,2.2,4.6,3.5,3.268,3.0,3.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,0.0,4.0,B+,22521.0,0.0,0%(礚綪),1货,2.59735237332903e-05,867075266
18,1216,2,A+,1.0,2.0,0.0,2.0,1.0,1.0,2.0,0.0,1,3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,1.0,2.0,1.0,2.0,0.0,1.0,2.0,3.0,3.2,5.0,3.75,3.848,3.0,4.0,4.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,A+,38158000.0,0.51,綪ゑㄒ禬筁0%~10%,200货~500货,0.20755563655629702,183844682
16,1201,2,A+,1.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0,3,3,2.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,1.0,3.0,1.0,2.0,2.0,4.0,1.0,3.0,2.6,5.0,4.75,3.974,3.0,5.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,A+,19369753.0,0.58,綪ゑㄒ禬筁0%~10%,100货~200货,0.10535933261316746,183844682
19,1234,2,A+,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,3,1,1.0,0.0,2.0,-2147483648.0,2.0,2.0,1.0,2.0,4.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,3.0,4.2,3.6,3.5,3.798,3.0,5.0,3.0,5.0,5.0,0.0,5.0,5.0,5.0,3.0,5.0,0.0,5.0,4.0,A+,6646428.0,2.14,綪ゑㄒ禬筁0%~10%,50货~100货,0.036152408259489385,183844682
