,腹,industry_id,LEVEL_111,E1,E9,E10,E17,Q4,Q7,Q11,Q15,Q3,Q13,S12,S2,S9,S21,esg_out,Q20,Q18,Q23,Q24,Q27,Q29,Q31,G6,G19,Q34_2,Q43,Q35_2,E_score,S_score,G_score,ESG_score,E1_topic_score,E2_topic_score,E3_topic_score,E4_topic_score,E5_topic_score,S1_topic_score,S2_topic_score,S3_topic_score,S4_topic_score,S5_topic_score,G1_topic_score,G2_topic_score,G3_topic_score,G4_topic_score,ESG_rating,ネ玻(じ),綪ゑ瞯,綪ゑ,ネ玻(じ),market_share,total_market_value
11,1817,14,B,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1,1,2.0,0.0,0.0,2.0,1.0,0.0,4.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,1.8,3.8,2.25,2.462,0.0,0.0,4.0,0.0,5.0,5.0,5.0,3.0,3.0,3.0,5.0,0.0,0.0,4.0,C,702914.0,2.0,綪ゑㄒ禬筁0%~10%,5货~10货,0.0011827065411889094,594326636
80,9939,15,B+,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,False,True,2.0,0.0,0.0,0.0,2.0,0.0,,,,,,,0.0,2.0,1.0,,3.0,1.0,1.2,2.5,1.59,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,2.0,5.0,5.0,0.0,0.0,C-,20417601.0,5.77,綪ゑㄒ禬筁0%~10%,200货~500货,0.04253521617236771,480016392
68,1307,15,B+,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,1,1,2.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,3.0,1.0,2.0,2.0,0.0,0.0,4.0,1.0,3.0,2.4,4.4,2.25,2.846,4.0,3.0,0.0,0.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,0.0,0.0,4.0,B-,17925655.0,89.93,綪ゑㄒ禬筁50%,100货~200货,0.03734383929122154,480016392
78,4306,15,B+,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1,1,1.0,1.0,1.0,0.0,1.0,2.0,4.0,3.0,3.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,3.0,1.6,4.8,3.25,2.994,0.0,3.0,0.0,5.0,0.0,5.0,5.0,5.0,4.0,5.0,5.0,0.0,4.0,4.0,B,11010388.0,80.28,綪ゑㄒ禬筁50%,100货~200货,0.022937525016854008,480016392
70,1321,15,B,1.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,1,1,1.0,0.0,2.0,-2147483648.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,0.0,4.0,2.0,3.0,2.6,3.8,3.75,3.314,4.0,4.0,0.0,0.0,5.0,0.0,5.0,5.0,5.0,4.0,5.0,0.0,5.0,5.0,B+,5900582.0,62.61,綪ゑㄒ禬筁50%,50货~100货,0.012292459379178867,480016392
77,2461,15,C,1.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,1.0,3.0,1.0,3.0,0.0,2.0,4.0,1.0,3.0,2.0,4.2,3.5,3.09,0.0,5.0,0.0,0.0,5.0,4.0,5.0,3.0,5.0,4.0,5.0,5.0,0.0,4.0,B,4036556.0,95.78,綪ゑㄒ禬筁50%,20货~50货,0.008409204492333254,480016392
71,1323,15,B+,1.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,1,1,2.0,0.0,2.0,-2147483648.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,3.0,0.0,0.0,4.0,3.0,3.0,3.8,3.4,1.25,2.782,4.0,5.0,0.0,5.0,5.0,0.0,5.0,3.0,5.0,4.0,5.0,0.0,0.0,0.0,B-,3219735.0,52.96,綪ゑㄒ禬筁50%,20货~50货,0.006707552187092811,480016392
75,1341,15,B,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,2.0,0.0,0.0,-2147483648.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,0.0,3.2,3.25,1.97,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0,3.0,5.0,4.0,0.0,4.0,C-,3043645.0,47.74,綪ゑㄒ禬筁40%~50%,20货~50货,0.006340710548068117,480016392
76,1342,15,B-,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,-2147483648.0,1.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,3.0,1.0,3.2,3.5,2.45,0.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,3.0,3.0,5.0,5.0,0.0,4.0,C,2501273.0,95.66,綪ゑㄒ禬筁50%,20货~50货,0.005210807467591648,480016392
79,8466,15,B-,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,3,1,2.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,4.0,,3.0,2.4,1.0,2.25,1.996,4.0,3.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,1.0,5.0,4.0,0.0,0.0,C-,2204983.0,100.0,綪ゑㄒ禬筁50%,20货~50货,0.004593557713337423,480016392
69,1315,15,B,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1,1,1.0,0.0,0.0,-2147483648.0,1.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,0.0,1.0,1.0,2.0,3.0,1.6,3.6,3.5,2.784,0.0,3.0,0.0,0.0,5.0,0.0,5.0,4.0,4.0,5.0,5.0,4.0,0.0,5.0,B-,1987483.0,82.48,綪ゑㄒ禬筁50%,10货~20货,0.004140448187027746,480016392
74,1340,15,C-,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,1.0,,3.0,1.6,0.2,2.25,1.484,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,0.0,0.0,C-,964237.0,0.0,0%(礚綪),5货~10货,0.002008758484231097,480016392
72,1324,15,B+,1.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,1,3,1.0,0.0,0.0,-2147483648.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,3.0,2.0,2.8,3.5,2.74,0.0,5.0,0.0,0.0,5.0,0.0,5.0,3.0,3.0,3.0,5.0,5.0,0.0,4.0,B-,668558.0,40.0,綪ゑㄒ禬筁30%~40%,5货~10货,0.0013927816031749183,480016392
73,1337,15,C,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1,1,2.0,0.0,0.0,2.0,1.0,0.0,,,,,,,0.0,0.0,1.0,,3.0,1.0,1.6,1.25,1.24,0.0,0.0,0.0,0.0,5.0,3.0,4.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,C-,643602.0,0.0,0%(礚綪),5货~10货,0.0013407917119630365,480016392
547,2002,16,B+,1.0,2.0,0.0,2.0,2.0,1.0,2.0,2.0,3,3,0.0,0.0,0.0,-2147483648.0,2.0,2.0,1.0,3.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,3.0,4.4,3.2,3.5,3.776,4.0,4.0,4.0,5.0,5.0,0.0,5.0,5.0,3.0,3.0,5.0,5.0,0.0,4.0,A,443330085.0,44.25,綪ゑㄒ禬筁40%~50%,1000货,0.25700023405260103,1725018215
560,2023,16,A,1.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,3,2,0.0,0.0,0.0,2.0,2.0,0.0,1.0,3.0,2.0,1.0,1.0,3.0,0.0,1.0,4.0,1.0,3.0,2.8,4.2,3.25,3.312,4.0,5.0,0.0,0.0,5.0,4.0,5.0,4.0,3.0,5.0,5.0,4.0,0.0,4.0,B+,141380634.0,75.04,綪ゑㄒ禬筁50%,1000货,0.08195892238737897,1725018215
548,2006,16,A+,1.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,3,3,0.0,0.0,0.0,-2147483648.0,2.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,3.0,4.2,3.2,3.5,3.698,4.0,3.0,4.0,5.0,5.0,0.0,5.0,5.0,3.0,3.0,5.0,5.0,0.0,4.0,A,92674008.0,12.16,綪ゑㄒ禬筁10%~20%,500货~1000货,0.05372349531972913,1725018215
563,2027,16,B,1.0,2.0,0.0,2.0,1.0,0.0,2.0,2.0,1,1,2.0,0.0,0.0,2.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,2.0,0.0,1.0,3.0,4.0,3.0,4.0,4.0,2.25,3.37,3.0,3.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,5.0,4.0,0.0,0.0,B+,81986486.0,99.19,綪ゑㄒ禬筁50%,500货~1000货,0.047527895814132026,1725018215
556,2015,16,B+,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1,3,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,3.0,1.0,4.0,2.0,0.0,1.0,1.0,1.0,3.0,2.4,4.4,3.25,3.206,4.0,3.0,0.0,0.0,5.0,4.0,5.0,5.0,3.0,5.0,5.0,4.0,0.0,4.0,B+,67475782.0,9.49,綪ゑㄒ禬筁0%~10%,500货~1000货,0.03911598232022147,1725018215
555,2014,16,A,1.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,3,2,0.0,0.0,0.0,2.0,2.0,1.0,4.0,3.0,4.0,1.0,1.0,2.0,0.0,2.0,3.0,1.0,3.0,3.4,4.4,3.5,3.686,4.0,5.0,3.0,0.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,0.0,4.0,A,46246731.0,44.51,綪ゑㄒ禬筁40%~50%,200货~500货,0.026809416038543105,1725018215
552,2010,16,A,1.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,1,3,0.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,2.0,4.0,1.0,4.0,0.0,2.0,3.0,1.0,3.0,2.2,4.8,3.5,3.318,0.0,3.0,3.0,0.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,0.0,4.0,B+,15317961.0,3.56,綪ゑㄒ禬筁0%~10%,100货~200货,0.008879883624881027,1725018215
570,2034,16,B,1.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,3,3,2.0,0.0,0.0,2.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,3.0,3.4,4.2,3.5,3.636,4.0,0.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,0.0,4.0,A,13151460.0,71.57,綪ゑㄒ禬筁50%,100货~200货,0.007623954278071203,1725018215
566,2030,16,B-,1.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,1,3,2.0,0.0,0.0,2.0,1.0,0.0,3.0,3.0,2.0,1.0,1.0,2.0,0.0,1.0,4.0,1.0,3.0,2.4,4.0,3.25,3.106,0.0,3.0,4.0,0.0,5.0,5.0,5.0,4.0,3.0,3.0,5.0,4.0,0.0,4.0,B,12714214.0,62.53,綪ゑㄒ禬筁50%,100货~200货,0.00737048101257296,1725018215
572,2069,16,B-,1.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,1,3,2.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,4.0,1.0,1.0,2.0,0.0,0.0,3.0,1.0,3.0,1.8,4.2,2.25,2.5620000000000003,0.0,4.0,0.0,0.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,0.0,0.0,4.0,C,11992988.0,56.2,綪ゑㄒ禬筁50%,100货~200货,0.006952383398455882,1725018215
564,2028,16,B-,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,0.0,2.0,4.0,1.0,3.0,1.6,4.0,3.5,2.8840000000000003,0.0,3.0,0.0,0.0,5.0,5.0,5.0,4.0,3.0,3.0,5.0,5.0,0.0,4.0,B-,11887463.0,7.56,綪ゑㄒ禬筁0%~10%,100货~200货,0.006891210131366642,1725018215
559,2022,16,B+,1.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,1,1,1.0,0.0,0.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,4.0,1.0,0.0,1.0,1.0,1.0,3.0,1.8,4.2,3.25,2.922,0.0,4.0,0.0,0.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,4.0,0.0,4.0,B,10813493.0,24.49,綪ゑㄒ禬筁20%~30%,100货~200货,0.006268625401152648,1725018215
576,5538,16,B-,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1,1,1.0,0.0,0.0,-2147483648.0,1.0,0.0,2.0,3.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,3.0,1.0,3.0,3.25,2.31,0.0,0.0,0.0,0.0,5.0,0.0,5.0,3.0,4.0,3.0,5.0,4.0,0.0,4.0,C,10419677.0,39.27,綪ゑㄒ禬筁30%~40%,100货~200货,0.00604032868139888,1725018215
571,2038,16,C,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,4.0,1.0,1.0,4.0,0.0,1.0,4.0,1.0,3.0,0.6,4.6,3.25,2.554,3.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,0.0,4.0,C,10247030.0,0.0,0%(礚綪),100货~200货,0.005940244520838292,1725018215
565,2029,16,A,1.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,3,1,0.0,0.0,0.0,-2147483648.0,1.0,0.0,1.0,4.0,3.0,1.0,1.0,3.0,0.0,1.0,4.0,1.0,3.0,2.8,3.4,3.25,3.112,4.0,5.0,0.0,0.0,5.0,0.0,5.0,5.0,3.0,4.0,5.0,4.0,0.0,4.0,B,9898000.0,30.71,綪ゑㄒ禬筁30%~40%,50货~100货,0.0057379104254849855,1725018215
554,2013,16,A+,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,2,1,0.0,0.0,0.0,2.0,1.0,0.0,4.0,3.0,4.0,4.0,2.0,1.0,0.0,2.0,1.0,1.0,3.0,1.8,4.6,3.5,3.112,0.0,4.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,0.0,4.0,B,9774799.0,2.86,綪ゑㄒ禬筁0%~10%,50货~100货,0.005666490310074784,1725018215
577,9927,16,B+,1.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,0.0,1.0,,3.0,2.6,0.2,1.25,1.514,4.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,C-,8859166.0,53.3,綪ゑㄒ禬筁50%,50货~100货,0.005135694175843818,1725018215
578,9958,16,B,-2147483648.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,True,True,0.0,0.0,0.0,-2147483648.0,2.0,0.0,,,,,,,0.0,1.0,1.0,,3.0,1.6,0.4,2.25,1.534,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,5.0,4.0,0.0,0.0,C-,8779554.0,0.71,綪ゑㄒ禬筁0%~10%,50货~100货,0.005089542779117842,1725018215
573,2211,16,B+,1.0,2.0,0.0,2.0,1.0,1.0,2.0,0.0,1,1,2.0,0.0,0.0,-2147483648.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,4.0,1.0,3.0,3.2,3.2,2.25,2.858,3.0,4.0,4.0,0.0,5.0,0.0,5.0,5.0,3.0,3.0,5.0,0.0,0.0,4.0,B-,7120891.0,0.0,0%(礚綪),50货~100货,0.0041280091642394625,1725018215
567,2031,16,B+,1.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,1,1,2.0,2.0,0.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,4.0,1.0,3.0,2.8,4.6,3.5,3.502,0.0,5.0,4.0,0.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,0.0,5.0,4.0,A,7055447.0,0.26,綪ゑㄒ禬筁0%~10%,50货~100货,0.004090071014119697,1725018215
549,2007,16,B+,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,3,1,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,3.0,1.6,3.8,3.25,2.744,3.0,0.0,0.0,0.0,5.0,3.0,5.0,4.0,3.0,4.0,5.0,4.0,0.0,4.0,B-,6535043.0,23.11,綪ゑㄒ禬筁20%~30%,50货~100货,0.0037883907214278315,1725018215
553,2012,16,A,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,1,3,2.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,1.0,1.0,4.0,1.0,0.0,1.0,1.0,1.0,3.0,1.8,4.2,3.25,2.922,0.0,0.0,4.0,0.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,4.0,0.0,4.0,B,6301670.0,26.83,綪ゑㄒ禬筁20%~30%,50货~100货,0.0036531034543307705,1725018215
575,5007,16,B+,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1,4,2.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,4.0,1.0,3.0,1.6,4.0,2.25,2.434,0.0,3.0,0.0,0.0,5.0,5.0,5.0,4.0,3.0,3.0,5.0,0.0,0.0,4.0,C,5230583.0,89.78,綪ゑㄒ禬筁50%,50货~100货,0.0030321900108167842,1725018215
558,2020,16,C,1.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,1,4,0.0,0.0,0.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,2.0,3.0,2.0,3.8,3.5,2.99,0.0,5.0,0.0,0.0,5.0,5.0,5.0,3.0,3.0,3.0,5.0,4.0,0.0,5.0,B,4301768.0,7.49,綪ゑㄒ禬筁0%~10%,20货~50货,0.0024937522181468674,1725018215
568,2032,16,C,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,-2147483648.0,1.0,1.0,4.0,3.0,4.0,1.0,1.0,4.0,0.0,2.0,4.0,1.0,3.0,0.6,3.6,3.5,2.394,0.0,3.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0,5.0,5.0,5.0,0.0,4.0,C,3323000.0,0.0,0%(礚綪),20货~50货,0.001926356470386604,1725018215
551,2009,16,B-,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1,3,0.0,0.0,0.0,-2147483648.0,1.0,0.0,2.0,3.0,3.0,2.0,1.0,4.0,0.0,1.0,4.0,1.0,3.0,1.6,3.8,3.25,2.744,3.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,4.0,5.0,5.0,4.0,0.0,4.0,B-,2771926.0,44.53,綪ゑㄒ禬筁40%~50%,20货~50货,0.0016068966552912603,1725018215
557,2017,16,B,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1,1,1.0,0.0,0.0,-2147483648.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,0.0,2.0,3.0,1.0,3.0,1.8,3.2,3.5,2.7620000000000005,4.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,3.0,3.0,5.0,5.0,0.0,4.0,B-,1907401.0,3.61,綪ゑㄒ禬筁0%~10%,10货~20货,0.001105728034297887,1725018215
574,2358,16,C,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1,1,1.0,0.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,2.0,2.0,0.0,1.0,1.0,3.0,1.6,4.6,3.5,3.034,0.0,3.0,0.0,0.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,0.0,5.0,4.0,B,1808501.0,21.51,綪ゑㄒ禬筁20%~30%,10货~20货,0.0010483953063649245,1725018215
550,2008,16,B-,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1,3,2.0,0.0,0.0,-2147483648.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,3.0,1.6,3.0,3.25,2.544,0.0,0.0,3.0,0.0,5.0,0.0,5.0,3.0,4.0,3.0,5.0,4.0,0.0,4.0,C,1691348.0,29.73,綪ゑㄒ禬筁20%~30%,10货~20货,0.0009804812408893897,1725018215
562,2025,16,C-,1.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,1,1,0.0,0.0,0.0,-2147483648.0,1.0,0.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,2.8,2.8,3.25,2.962,4.0,5.0,0.0,0.0,5.0,0.0,5.0,3.0,3.0,3.0,5.0,4.0,0.0,4.0,B,1231476.0,0.0,0%(礚綪),10货~20货,0.0007138915921534196,1725018215
561,2024,16,C,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,4,4,2.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,4.0,1.0,1.0,4.0,0.0,2.0,4.0,1.0,3.0,1.0,4.2,3.5,2.7,0.0,0.0,0.0,0.0,5.0,3.0,5.0,5.0,3.0,5.0,5.0,5.0,0.0,4.0,B-,1047165.0,37.4,綪ゑㄒ禬筁30%~40%,10货~20货,0.0006070457638616877,1725018215
569,2033,16,C-,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1,1,1.0,0.0,0.0,2.0,1.0,0.0,1.0,4.0,4.0,1.0,1.0,4.0,0.0,2.0,1.0,1.0,3.0,1.6,4.4,3.5,2.984,0.0,3.0,0.0,0.0,5.0,4.0,5.0,5.0,3.0,5.0,5.0,5.0,0.0,4.0,B,558154.0,9.72,綪ゑㄒ禬筁0%~10%,5货~10货,0.0003235641195823547,1725018215
496,5243,17,C,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1,1,2.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,2.0,4.0,1.0,3.0,1.0,2.8,3.5,2.35,0.0,0.0,0.0,0.0,5.0,0.0,5.0,3.0,3.0,3.0,5.0,5.0,0.0,4.0,C,15436050.0,100.0,綪ゑㄒ禬筁50%,100货~200货,0.009193900685026173,1678944610
488,3376,17,B+,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1,2,2.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,4.0,0.0,2.0,3.0,1.0,3.0,1.0,4.2,3.5,2.7,0.0,0.0,0.0,0.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,0.0,4.0,B-,13796718.0,98.07,綪ゑㄒ禬筁50%,100货~200货,0.008217494441344316,1678944610
494,4942,17,B+,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,3,1,2.0,0.0,0.0,2.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,1.6,3.6,2.25,2.334,0.0,3.0,0.0,0.0,5.0,4.0,5.0,3.0,3.0,3.0,5.0,0.0,0.0,4.0,C,11304513.0,100.0,綪ゑㄒ禬筁50%,100货~200货,0.006733106579376672,1678944610
483,1582,17,B+,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2,1,2.0,0.0,0.0,-2147483648.0,1.0,0.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,1.0,3.0,1.6,2.8,2.25,2.134,0.0,3.0,0.0,0.0,5.0,0.0,5.0,3.0,3.0,3.0,5.0,0.0,0.0,4.0,C,6962854.0,98.51,綪ゑㄒ禬筁50%,50货~100货,0.004147161233627595,1678944610
500,9905,17,B-,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,3,3,2.0,0.0,0.0,-2147483648.0,1.0,0.0,1.0,3.0,3.0,1.0,4.0,1.0,0.0,2.0,4.0,1.0,3.0,1.6,3.6,3.5,2.784,0.0,3.0,0.0,0.0,5.0,0.0,5.0,5.0,3.0,5.0,5.0,5.0,0.0,4.0,B-,6524897.0,5.85,綪ゑㄒ禬筁0%~10%,50货~100货,0.003886308673399297,1678944610
498,8411,17,B,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1,1,2.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,1.6,3.6,2.25,2.334,0.0,3.0,0.0,0.0,5.0,4.0,5.0,3.0,3.0,3.0,5.0,0.0,0.0,4.0,C,6523423.0,100.0,綪ゑㄒ禬筁50%,50货~100货,0.003885430740922418,1678944610
485,2476,17,B-,1.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,1,3,1.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,3.0,3.6,3.8,2.25,3.164,4.0,5.0,4.0,0.0,5.0,3.0,5.0,5.0,3.0,3.0,5.0,0.0,0.0,4.0,B,5665928.0,76.09,綪ゑㄒ禬筁50%,50货~100货,0.003374696202753228,1678944610
493,4912,17,B,1.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,1,3,2.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,4.0,1.0,1.0,1.0,0.0,0.0,4.0,1.0,3.0,2.0,4.2,2.25,2.64,0.0,5.0,0.0,0.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,0.0,0.0,4.0,B-,4887646.0,86.17,綪ゑㄒ禬筁50%,20货~50货,0.0029111418988384615,1678944610
499,8488,17,B-,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0,1,1,0.0,0.0,0.0,0.0,1.0,2.0,,,,,,,0.0,1.0,1.0,,3.0,3.4,0.8,2.25,2.336,4.0,4.0,4.0,0.0,5.0,3.0,0.0,0.0,0.0,1.0,5.0,4.0,0.0,0.0,C,3685853.0,100.0,綪ゑㄒ禬筁50%,20货~50货,0.0021953392494586227,1678944610
484,2059,17,A,1.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,1,3,1.0,0.0,0.0,-2147483648.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,3.2,2.8,2.25,2.758,4.0,4.0,3.0,0.0,5.0,0.0,5.0,3.0,3.0,3.0,5.0,0.0,0.0,4.0,B-,3374352.0,79.14,綪ゑㄒ禬筁50%,20货~50货,0.002009805433664664,1678944610
490,3679,17,B,1.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,1,1,1.0,2.0,2.0,-2147483648.0,1.0,0.0,4.0,3.0,3.0,1.0,4.0,3.0,2.0,1.0,1.0,1.0,3.0,1.8,4.0,4.5,3.322,0.0,4.0,0.0,0.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,B+,3157221.0,98.96,綪ゑㄒ禬筁50%,20货~50货,0.0018804795472079333,1678944610
489,3543,17,B,1.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,1,1,2.0,0.0,0.0,-2147483648.0,1.0,0.0,4.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,4.0,1.0,3.0,2.4,3.0,2.25,2.496,0.0,3.0,4.0,0.0,5.0,0.0,5.0,4.0,3.0,3.0,5.0,0.0,0.0,4.0,C,2365539.0,85.83,綪ゑㄒ禬筁50%,20货~50货,0.0014089440389579023,1678944610
